Computer Science Topics,Computer Science Topics Lowercase,Description,Key words,Possible courses,Possible Careers,Career 2,Personal Notes
Computer vision,computer vision,"Computer vision is concerned with the theory behind artificial systems that extract information from images. The image data can take many forms, such as video sequences, views from multiple cameras, multi-dimensional data from a 3D scanner, or medical scanning devices. ",Artificial intelligence;AI;Computer graphics;Computer visualization;Two-dimensional;Three-dimensional;2D;3D,CAP 4613;CAP 4730,Graphic Designer,Software Engineer,
Soft computing,soft computing,Soft computing is the use of inexact solutions for otherwise extremely difficult problems.,Soft computing,,,,Very broad
Natural language processing,natural language processing,"An interdisciplinary subfield of linguistics, computer science, and artificial intelligence concerned with the interactions between computers and human language, in particular how to program computers to process and analyze large amounts of natural language data.",Natural language processing;languages;Human-computer interaction,CAP 4641,Software Developer,,
Robotics,robotics,"An interdisciplinary branch of computer science and engineering. Robotics involves the design, construction, operation, and use of robots.",Robots;robotics;robot algorithms,,Hardware Engineer,,More applicable to Electrical/Mechanical engineering
Networking,networking,"Networking involves algorithms and protocols for reliably communicating data across different shared or dedicated media, often including error correction.",Communication;Communicating data;shared data;dedicated media;Networks,CNT 4007;CNT 4731,Network Administrator,,
Computer security,computer security,"Computer security involves the protection of computer systems and networks from attacks by malicious actors that may result in unauthorized information disclosure, theft of, or damage to hardware, software, or data, as well as from the disruption or misdirection of the services they provide.",Computer systems;Computer networks;Computer security;Cybersecurity,CIS 4204;CIS 4213;CIS 4360,Security Analyst,,
Cryptography,cryptography,Cryptography is the practice and study of techniques for secure communication in the presence of adversarial behavior.,Cryptography;Cryptology;Security,CIS 4362,Security Analyst,,
Computer architecture,computer architecture,"The computer architecture is the structure of a computer system made from component parts, like CPUs and memory subsystems.",Computer architecture;Compute organization;CPU;Memory;Hardware,CDA 3101;CDA 4102;CDA 4630,IT Architect,,
Operating systems,operating systems,Operating systems are systems for managing computer programs and providing the basis of a usable system.,Operating system;OS;Managing computer programs,COP 4600;CDA 4630,Systems Analyst,,
Computer graphics,computer graphics,"Computer graphics deals with generating images and art with the aid of computers and algorithms, both for generating visual images synthetically, and for integrating or altering visual and spatial information sampled from the real world.",Computer graphics;image generation;visual and spatial information,CAP 4613;CAP 4730;CAP 3032,Graphic Designer,,
Image processing,image processing,Image processing involves the use of a digital computer to process information from a digital image through an algorithm.,Image processing;Computer graphics;Image computation,CAP 4613;CAP 4730;CAP 3032,Graphic Designer,,
Information visualization,information visualization,Information visualization is the practice of designing and creating easy-to-communicate and easy-to-understand graphic or visual representation of a large amount of complex quantitative and qualitative data and information.,Information visualization;image processing;abstract data,CAP 4613;CAP 4730;CAP 3032,Graphic Designer,Data Scientist,
Parallel computing,parallel computing,The theory and practice of simultaneous computation; it also involves data safety in any multitasking or multithreaded environment.,Parallel computing;parallel processing;simultaneous computation;multithreaded environment;threads,COP 4600;CDA 3101;CDA 4102,Systems Analyst,,This and concurrency are similar
Concurrency,concurrency,"Concurrency is the ability of different parts or units of a program, algorithm, or problem to be executed out-of-order or in partial order, without affecting the outcome. This involves using multiple concurrent threads of execution, devising algorithms for solving problems on multiple processors to achieve maximal speed-up compared to sequential execution",Parallel computing;parallel processing;simultaneous computation;multithreaded environment;threads;Concurrency;multiprocessing,COP 4600;CDA 3101;CDA 4102,Systems Analyst,,
Distributed computing,distributed computing,Distributed computing uses multiple computing devices over a network to accomplish a common objective or task and thereby reducing the latency involved in single processor contributions for any task.,Distributed computing,CNT 4007,Networks Administrator,,
Relational databases,relational databases,The set theoretic and algorithmic foundation of databases. A relational database is a database based on the relational model of data.,Relational databases;SQL;Set theory;databases,CIS 4301,Database Administrator,,"There is also Info and Database Systems 2, but it wasn't on our list"
Structured storage,structured storage,"Structured storage is computer storage for structured data, often in the form of a distributed database.",Non-relational databases,,Database Administrator,,"Being that CIS4301 only covers relational/SQL, I don't know if this is relevant"
Data mining,data mining,Data mining involves the study of algorithms for searching and processing information in documents and databases; closely related to information retrieval.,Information retrieval;data mining,,Data Scientist,,"Not sure if there are relevant classes for this, maybe algo classes?"
Compiler theory,compiler theory,"The theory of compiler design, which is based on automata theory. A compiler implements a formal transformation from a high-level source program to a low-level target program.",Compiler;Compiler design;Automata theory,COP 4020;COP 4620,Computer Programmer,Software Developer,
Programming language pragmatics,programming language pragmatics,"The taxonomy of programming languages, their strength and weaknesses. Programming language pragmatics also studies various programming paradigms, such as object-oriented programming.",Programming languages;Programming paradigms;Object-oriented programming,COP 4020;COP 4533;COP 4331,Computer Programmer,Software Developer,
Programming language theory,programming language theory,"The design, implementation, analysis, characterization, and classification of formal languages known as programming languages.",Programming languages;Programming language theory,COP 4020;COP 4533,Computer Programmer,Software Developer,
Formal semantics,formal semantics,The rigorous mathematical study of the meaning of programs.,Formal semantics,,,,Too broad
Type theory,type theory,"Type theory uses a formal analysis of the types of data, and the use of these types to understand properties of programs — especially program safety.",Type theory,,,,Too broad/no class on this
Computational science,computational science,Computational science involves constructing mathematical models and quantitative analysis techniques and using computers to analyze and solve scientific problems.,Mathematical models;quantitative analysis;Computational science,COP 2271;CAP 4730;COT 4501,Data Scientist,,
Numerical analysis,numerical analysis,"Numerical analysis studies the approximate numerical solution of mathematical problems such as root-finding, integration, the solution of ordinary differential equations; the approximation of special functions.",Numerical analysis;ordinary differential equations,COT 4501,Mathematician,Data Scientist,
Symbolic computation,symbolic computation,"The manipulation and solution of expressions in symbolic form, also known as Computer algebra.",Symbolic computation,,,,Not sure there is a course for this
Computational physics,computational physics,Computational physics studies numerical simulations of large non-analytic systems.,Computational physics,,Data Scientist,,Other than PHY courses; not sure we have this
Computational chemistry,computational chemistry,Computational chemistry uses computational modelling of theoretical chemistry in order to determine chemical structures and properties,Computational chemistry,,Data Scientist,,Same with above
Bioinformatics and Computational biology,bioinformatics and computational biology,"Bioinformatics and computational biology uses computer science to maintain, analyse, and store biological data and to assist in solving biological problems such as protein folding, function prediction and phylogeny.",Bioinformatics;computational biology;biological data,CGS 4144,Data Scientist,,
Computational neuroscience,computational neuroscience,Computational neuroscience uses computational modelling in the study of neurophysiology.,Computational neuroscience;neurophysiology;computational modelling,,Data Scientist,,No relevant courses other than computer modelling
Formal methods,formal methods,Formal methods are mathematical approaches for describing and reasoning about software design.,Software design,CEN 3031,,,Very broad
Software engineering,software engineering,"Software engineering describes the principles and practice of designing, developing, and testing programs, as well as proper engineering practices.",Software design;engineering practices;software engineering;software development;testing,CEN 3031;CEN 4914,Software Engineer,,
Algorithm design,algorithm design,Algorithm design involves using ideas from algorithm theory to creatively design solutions to real tasks.,Algorithm design,COP 4533;COP 3530,Computer Programmer,,
Computer programming,computer programming,"Computer programming is the practice of using a programming language to implement algorithms. It is also the process of performing particular computations (or more generally, accomplishing specific computing results), usually by designing and building executable computer programs and often involves tasks such as analysis, generating algorithms, profiling algorithms' accuracy and resource consumption, and the implementation of algorithms.",Computer programming;programming language,COP 3502C;COP 3503C;COP 3504C;COP 3530;COP 2271;COP 2800;COP 3275;COP 4331,Computer Programmer,,
Human-computer interaction,human-computer interaction,"Human-computer interaction studies the design and the use of computer technology, which focuses on the interfaces between people and computers.",Human-computer interaction;User experience design;UX design;UI;User interaction,CEN 4721;CEN 4722;CEN 4722,Web Developer,Software Engineer,
Reverse engineering,reverse engineering,"The application of the scientific method to the understanding of arbitrary existing software. Reverse engineering is a process or method through which one attempts to understand through deductive reasoning how a previously made device, process, system, or piece of software accomplishes a task with very little (if any) insight into exactly how it does so.",Reverse engineering;existing software,CAP 4136,Software Engineer,,
Automata theory,automata theory,"Automata theory is the study of abstract machines and automata, as well as the computational problems that can be solved using them. It is a theory in theoretical computer science.",Automata theory,CAP 3032,,,Could be data structures and algo as well
Computability theory,computability theory,Computability theory describes what is calculable with the current models of computers. Proofs developed by Alan Turing and others provide insight into the possibilities of what may be computed and what may not.,Computability theory,,,,
Computational complexity theory,computational complexity theory,"Computational complexity theory focuses on classifying computational problems according to their resource usage, and relating these classes to each other.",Computational complexity;Big O;Time complexity;Space complexity,COP 3530;COP 4533,Computer Programmer,Software Engineer,
Quantum computing theory,quantum computing theory,Quantum computing theory explores computational models involving the quantum superposition of bits.,Quantum computing;quantum superposition,,Computer Programmer,Data Scientist,No applicable courses
